Data Escala de Tempo 1 GE Simp 4;cod_aneel (tb_referenciacegusina (Usina));cod_nucleoaneel (tb_referenciacegusina (Usina));Data Dica;dsc_estado;id_subsistema;nom_tipousinasite;nom_usina2;Período Exibido GE;Selecione Tipo de GE Simp 4
;*;*;;AMAZONAS;Norte;*;*;4;31269,48261368
01/01/2018 00:00:00;*;*;1/1/2018;AMAZONAS;Norte;*;*;4;18,118144
02/01/2018 00:00:00;*;*;2/1/2018;AMAZONAS;Norte;*;*;4;17,801709
03/01/2018 00:00:00;*;*;3/1/2018;AMAZONAS;Norte;*;*;4;17,267649
04/01/2018 00:00:00;*;*;4/1/2018;AMAZONAS;Norte;*;*;4;17,303115
05/01/2018 00:00:00;*;*;5/1/2018;AMAZONAS;Norte;*;*;4;17,672623
06/01/2018 00:00:00;*;*;6/1/2018;AMAZONAS;Norte;*;*;4;17,775895
07/01/2018 00:00:00;*;*;7/1/2018;AMAZONAS;Norte;*;*;4;17,588197
08/01/2018 00:00:00;*;*;8/1/2018;AMAZONAS;Norte;*;*;4;17,384383
09/01/2018 00:00:00;*;*;9/1/2018;AMAZONAS;Norte;*;*;4;17,911597
10/01/2018 00:00:00;*;*;10/1/2018;AMAZONAS;Norte;*;*;4;16,894557
11/01/2018 00:00:00;*;*;11/1/2018;AMAZONAS;Norte;*;*;4;15,025455
12/01/2018 00:00:00;*;*;12/1/2018;AMAZONAS;Norte;*;*;4;16,097915
13/01/2018 00:00:00;*;*;13/1/2018;AMAZONAS;Norte;*;*;4;16,795031
14/01/2018 00:00:00;*;*;14/1/2018;AMAZONAS;Norte;*;*;4;16,761614
15/01/2018 00:00:00;*;*;15/1/2018;AMAZONAS;Norte;*;*;4;16,86601
16/01/2018 00:00:00;*;*;16/1/2018;AMAZONAS;Norte;*;*;4;16,92725358
17/01/2018 00:00:00;*;*;17/1/2018;AMAZONAS;Norte;*;*;4;16,93435768
18/01/2018 00:00:00;*;*;18/1/2018;AMAZONAS;Norte;*;*;4;16,93213
19/01/2018 00:00:00;*;*;19/1/2018;AMAZONAS;Norte;*;*;4;17,103676
20/01/2018 00:00:00;*;*;20/1/2018;AMAZONAS;Norte;*;*;4;17,223031
21/01/2018 00:00:00;*;*;21/1/2018;AMAZONAS;Norte;*;*;4;16,43521
22/01/2018 00:00:00;*;*;22/1/2018;AMAZONAS;Norte;*;*;4;16,899951
23/01/2018 00:00:00;*;*;23/1/2018;AMAZONAS;Norte;*;*;4;17,098331
24/01/2018 00:00:00;*;*;24/1/2018;AMAZONAS;Norte;*;*;4;16,906668
25/01/2018 00:00:00;*;*;25/1/2018;AMAZONAS;Norte;*;*;4;17,198575
26/01/2018 00:00:00;*;*;26/1/2018;AMAZONAS;Norte;*;*;4;16,801573
27/01/2018 00:00:00;*;*;27/1/2018;AMAZONAS;Norte;*;*;4;17,080008
28/01/2018 00:00:00;*;*;28/1/2018;AMAZONAS;Norte;*;*;4;16,104901
29/01/2018 00:00:00;*;*;29/1/2018;AMAZONAS;Norte;*;*;4;15,721604
30/01/2018 00:00:00;*;*;30/1/2018;AMAZONAS;Norte;*;*;4;16,005248
31/01/2018 00:00:00;*;*;31/1/2018;AMAZONAS;Norte;*;*;4;16,97355
01/02/2018 00:00:00;*;*;1/2/2018;AMAZONAS;Norte;*;*;4;17,209951
02/02/2018 00:00:00;*;*;2/2/2018;AMAZONAS;Norte;*;*;4;17,094323
03/02/2018 00:00:00;*;*;3/2/2018;AMAZONAS;Norte;*;*;4;17,115822
04/02/2018 00:00:00;*;*;4/2/2018;AMAZONAS;Norte;*;*;4;16,847991
05/02/2018 00:00:00;*;*;5/2/2018;AMAZONAS;Norte;*;*;4;17,137
06/02/2018 00:00:00;*;*;6/2/2018;AMAZONAS;Norte;*;*;4;17,267496
07/02/2018 00:00:00;*;*;7/2/2018;AMAZONAS;Norte;*;*;4;16,930324
08/02/2018 00:00:00;*;*;8/2/2018;AMAZONAS;Norte;*;*;4;17,240623
09/02/2018 00:00:00;*;*;9/2/2018;AMAZONAS;Norte;*;*;4;17,266734
10/02/2018 00:00:00;*;*;10/2/2018;AMAZONAS;Norte;*;*;4;17,352393
11/02/2018 00:00:00;*;*;11/2/2018;AMAZONAS;Norte;*;*;4;17,377259
12/02/2018 00:00:00;*;*;12/2/2018;AMAZONAS;Norte;*;*;4;17,383366
13/02/2018 00:00:00;*;*;13/2/2018;AMAZONAS;Norte;*;*;4;16,788814
14/02/2018 00:00:00;*;*;14/2/2018;AMAZONAS;Norte;*;*;4;17,404238
15/02/2018 00:00:00;*;*;15/2/2018;AMAZONAS;Norte;*;*;4;17,349464
16/02/2018 00:00:00;*;*;16/2/2018;AMAZONAS;Norte;*;*;4;17,064184
17/02/2018 00:00:00;*;*;17/2/2018;AMAZONAS;Norte;*;*;4;16,401089
18/02/2018 00:00:00;*;*;18/2/2018;AMAZONAS;Norte;*;*;4;16,910439
19/02/2018 00:00:00;*;*;19/2/2018;AMAZONAS;Norte;*;*;4;17,216571
20/02/2018 00:00:00;*;*;20/2/2018;AMAZONAS;Norte;*;*;4;16,929889
21/02/2018 00:00:00;*;*;21/2/2018;AMAZONAS;Norte;*;*;4;17,113157
22/02/2018 00:00:00;*;*;22/2/2018;AMAZONAS;Norte;*;*;4;17,54334
23/02/2018 00:00:00;*;*;23/2/2018;AMAZONAS;Norte;*;*;4;16,564445
24/02/2018 00:00:00;*;*;24/2/2018;AMAZONAS;Norte;*;*;4;17,047285
25/02/2018 00:00:00;*;*;25/2/2018;AMAZONAS;Norte;*;*;4;17,341901
26/02/2018 00:00:00;*;*;26/2/2018;AMAZONAS;Norte;*;*;4;17,009171
27/02/2018 00:00:00;*;*;27/2/2018;AMAZONAS;Norte;*;*;4;16,477607
28/02/2018 00:00:00;*;*;28/2/2018;AMAZONAS;Norte;*;*;4;16,183626
01/03/2018 00:00:00;*;*;1/3/2018;AMAZONAS;Norte;*;*;4;16,844762
02/03/2018 00:00:00;*;*;2/3/2018;AMAZONAS;Norte;*;*;4;17,092079
03/03/2018 00:00:00;*;*;3/3/2018;AMAZONAS;Norte;*;*;4;16,949326
04/03/2018 00:00:00;*;*;4/3/2018;AMAZONAS;Norte;*;*;4;16,609433
05/03/2018 00:00:00;*;*;5/3/2018;AMAZONAS;Norte;*;*;4;16,516724
06/03/2018 00:00:00;*;*;6/3/2018;AMAZONAS;Norte;*;*;4;16,90902
07/03/2018 00:00:00;*;*;7/3/2018;AMAZONAS;Norte;*;*;4;16,559905
