;geracao
1;18.118144
2;17.801709
3;17.267649
4;17.303115
5;17.672623
6;17.775895
7;17.588197
8;17.384383
9;17.911597
10;16.894557
13;16.795031
14;16.761614
15;16.86601
16;16.92725358
17;16.93435768
18;16.93213
19;17.103676
20;17.223031
21;16.43521
22;16.899951
23;17.098331
24;16.906668
25;17.198575
26;16.801573
27;17.080008
31;16.97355
32;17.209951
33;17.094323
34;17.115822
35;16.847991
36;17.137
37;17.267496
38;16.930324
39;17.240623
40;17.266734
41;17.352393
42;17.377259
43;17.383366
44;16.788814
45;17.404238
46;17.349464
47;17.064184
48;16.401089
49;16.910439
50;17.216571
51;16.929889
52;17.113157
53;17.54334
54;16.564445
55;17.047285
56;17.341901
57;17.009171
58;16.477607
60;16.844762
61;17.092079
62;16.949326
63;16.609433
64;16.516724
65;16.90902
66;16.559905
67;16.566116
68;16.395822
69;16.609704
71;16.393424
72;16.604223
73;16.368982
74;16.755334
75;16.723613
76;16.945016
78;16.573295
79;16.599606
82;16.583664
83;16.739621
84;16.756521
85;16.589447
86;16.315827
87;16.378618
88;16.34144
89;16.548542
90;16.654481
91;16.34367
92;16.456493
96;16.399625
97;16.381041
104;16.533883
105;16.43683
106;16.765585
107;16.311464
109;16.510553
110;16.309967
111;16.277816
113;16.594464
114;16.314298
115;16.514167
117;16.457259
118;16.496464
119;16.847072
123;16.315571
127;16.479701
128;17.237857
129;17.437757
130;17.712561
131;17.838622
132;18.310436
133;17.93144
134;19.529667
135;18.985558
136;19.265812
137;17.718816
138;16.998199
139;19.172197
140;18.02803
142;21.33117
143;22.159573
144;21.501667
145;19.651291
157;17.466237
158;19.255507
159;18.115438
160;19.659059
161;20.230578
162;17.379242
163;23.238882
164;20.633422
165;20.985155
166;24.083814
167;24.730202
179;16.307815
180;18.737893
182;19.727285
183;19.47919
184;21.137725
185;23.917767
187;22.210534
188;27.146338
189;26.600838
190;17.738379
194;23.404297
195;28.453084
196;23.274125
197;22.805736
198;22.963386
199;22.505587
200;23.920421
201;23.612266
202;21.178405
205;16.85976
207;17.223395
208;20.116225
209;19.714768
210;18.522242
211;19.858943
212;28.462929
213;28.384257
214;28.94163
215;27.531267
216;27.679697
217;26.645269
218;25.979909
219;27.810437
220;28.282886
221;28.371568
222;19.367329
224;20.156841
225;28.505605
226;28.456461
227;28.508394
228;28.436765
229;28.412706
230;28.631777
231;27.315548
232;27.857852
233;27.27257
234;27.463373
235;27.513564
236;27.88322
237;27.978427
238;27.191649
239;27.349454
240;25.567277
241;23.549468
242;27.905258
243;27.035202
244;27.183592
245;27.437932
246;27.993612
247;28.509623
248;29.128651
249;28.358155
250;24.194252
251;20.882627
252;23.713312
253;21.732366
254;20.264609
255;20.503194
256;24.385373
257;24.408681
258;22.010224
259;17.901629
260;20.237196
261;19.524606
262;18.738415
263;19.579606
264;19.558671
265;28.063038
266;27.757175
267;28.056325
268;28.441948
269;28.041473
270;27.981282
271;27.640149
272;28.004961
273;27.728802
274;27.360897
275;27.284484
276;27.703421
277;23.0852
278;22.341155
279;27.972051
280;28.148652
281;27.789429
282;27.349315
283;27.160042
284;27.652172
285;25.652477
286;26.582354
287;24.987063
288;22.158729
289;20.32106
290;24.403795
291;18.75872
292;16.829069
293;18.559082
294;20.690126
295;17.524847
297;19.779649
298;20.376212
299;20.301484
300;21.04424
301;22.202215
302;21.626732
303;21.185447
304;21.491031
305;21.233893
306;21.324807
307;21.853273
308;21.94190712
309;21.4604
310;20.910385
311;20.546998
312;20.767979
313;21.388985
314;18.613455
315;18.227616
316;19.638596
317;21.437083
318;21.24015
319;19.744813
320;20.222067
321;22.559675
322;21.754035
323;20.959304
324;21.132966
325;20.288914
326;19.956579
327;20.341271
328;19.831642
329;19.757753
330;21.661197
331;19.376444
332;19.445259
333;19.190298
334;19.339699
335;19.263633
336;18.694508
337;19.486543
338;18.790644
339;17.980875
340;17.394867
341;17.415146
342;16.963076
343;16.332576
345;16.934774
346;17.113016
347;16.684536
355;17.045798
356;17.772925
357;20.58741
358;19.041735
359;18.548771
360;19.027259
361;19.422334
362;25.190274
363;25.82193
364;26.1119
365;26.374412
366;20.472262
367;20.340721
368;20.509875
369;20.188164
370;25.425368
371;25.853889
372;28.891043
373;26.178637
374;26.541999
375;25.385797
376;27.159139
377;19.475141
378;19.019723
379;18.945952
380;19.761093
381;19.969277
382;20.164578
383;19.878526
384;19.604495
385;18.63718
386;20.553271
387;19.301255
388;19.456175
389;19.179602
390;19.414618
391;19.649466
392;18.684393
393;19.94651
394;20.622481
395;19.6765
396;19.482467
397;19.708209
398;19.561033
399;19.494101
400;20.968032
401;23.202187
402;19.996187
403;18.917204
404;20.010663
405;19.648617
406;19.474006
407;19.612974
408;18.310423
409;19.514423
410;19.143261
411;20.150782
412;19.928861
413;19.9025
414;20.130133
415;19.30279
416;19.869287
417;20.293867
418;19.857044
419;19.473362
420;20.011199
421;20.067627
422;20.064582
423;20.230484
424;20.226657
425;19.953208
426;19.647234
427;19.984173
428;20.022354
429;20.042468
430;19.983128
431;20.211118
432;20.252092
433;19.415632
434;19.688338
435;19.755343
436;19.69277
437;20.004815
438;20.402046
439;20.220641
440;19.63398
441;19.927306
442;20.600568
443;19.104647
444;20.705547
445;20.429754
446;19.972008
447;20.093235
448;19.669461
449;19.657786
450;20.319161
451;20.542486
452;20.867347
453;20.357514
454;19.982937
455;20.001069
456;20.199844
457;20.347311
458;19.104219
459;20.231865
460;20.507361
461;20.813639
462;20.269869
463;20.20242
464;21.955244
465;20.266535
466;20.492154
467;20.367593
468;20.180531
469;20.864748
470;20.112385
471;20.081213
472;20.13478
473;20.460807
474;19.938873
475;17.905317
476;19.781721
477;20.007795
478;19.931881
479;20.240751
480;20.539625
481;20.106815
482;18.132285
483;18.462119
484;19.077779
485;19.999071
486;20.185373
487;20.369013
488;20.469339
489;19.512998
490;19.782228
491;20.421205
492;21.102816
493;20.584814
494;20.912801
495;20.527875
496;19.323935
497;19.812888
498;20.452955
499;20.650861
500;20.02449
501;20.348257
502;20.147794
503;19.699048
504;18.581808
505;19.467427
506;19.86175
