data;geracao
2018-01-01;18.118144
2018-01-02;17.801709
2018-01-03;17.267649
2018-01-04;17.303115
2018-01-05;17.672623
2018-01-06;17.775895
2018-01-07;17.588197
2018-01-08;17.384383
2018-01-09;17.911597
2018-01-10;16.894557
2018-01-11;15.025455
2018-01-12;16.097915
2018-01-13;16.795031
2018-01-14;16.761614
2018-01-15;16.86601
2018-01-16;16.92725358
2018-01-17;16.93435768
2018-01-18;16.93213
2018-01-19;17.103676
2018-01-20;17.223031
2018-01-21;16.43521
2018-01-22;16.899951
2018-01-23;17.098331
2018-01-24;16.906668
2018-01-25;17.198575
2018-01-26;16.801573
2018-01-27;17.080008
2018-01-28;16.104901
2018-01-29;15.721604
2018-01-30;16.005248
2018-01-31;16.97355
2018-02-01;17.209951
2018-02-02;17.094323
2018-02-03;17.115822
2018-02-04;16.847991
2018-02-05;17.137
2018-02-06;17.267496
2018-02-07;16.930324
2018-02-08;17.240623
2018-02-09;17.266734
2018-02-10;17.352393
2018-02-11;17.377259
2018-02-12;17.383366
2018-02-13;16.788814
2018-02-14;17.404238
2018-02-15;17.349464
2018-02-16;17.064184
2018-02-17;16.401089
2018-02-18;16.910439
2018-02-19;17.216571
2018-02-20;16.929889
2018-02-21;17.113157
2018-02-22;17.54334
2018-02-23;16.564445
2018-02-24;17.047285
2018-02-25;17.341901
2018-02-26;17.009171
2018-02-27;16.477607
2018-02-28;16.183626
2018-03-01;16.844762
2018-03-02;17.092079
2018-03-03;16.949326
2018-03-04;16.609433
2018-03-05;16.516724
2018-03-06;16.90902
2018-03-07;16.559905
2018-03-08;16.566116
2018-03-09;16.395822
2018-03-10;16.609704
2018-03-11;16.049394
2018-03-12;16.393424
2018-03-13;16.604223
2018-03-14;16.368982
2018-03-15;16.755334
2018-03-16;16.723613
2018-03-17;16.945016
2018-03-18;16.269927
2018-03-19;16.573295
2018-03-20;16.599606
2018-03-21;14.785902
2018-03-22;15.626558
2018-03-23;16.583664
2018-03-24;16.739621
2018-03-25;16.756521
2018-03-26;16.589447
2018-03-27;16.315827
2018-03-28;16.378618
2018-03-29;16.34144
2018-03-30;16.548542
2018-03-31;16.654481
2018-04-01;16.34367
2018-04-02;16.456493
2018-04-03;16.270401
2018-04-04;16.141199
2018-04-05;16.250874
2018-04-06;16.399625
2018-04-07;16.381041
2018-04-08;15.507872
2018-04-09;15.151157
2018-04-10;14.317155
2018-04-11;15.303259
2018-04-12;15.059807
2018-04-13;16.174055
2018-04-14;16.533883
2018-04-15;16.43683
2018-04-16;16.765585
2018-04-17;16.311464
2018-04-18;16.15686
2018-04-19;16.510553
