;y_pred;lower;upper;geracao
2021-01-01;24.5261;20.2473;28.8049;22.876548
2021-01-02;24.7807;19.7398;29.8216;24.64027
2021-01-03;24.1731;19.1322;29.214;21.461506
2021-01-04;25.4903;20.4494;30.5312;23.42042
2021-01-05;25.4766;20.4357;30.5175;24.242198
2021-01-06;25.288;20.2471;30.3289;24.26029
2021-01-07;25.2193;20.1784;30.2602;24.438743
2021-01-08;25.1229;19.8927;30.353;24.468529
2021-01-09;24.8321;19.5304;30.1338;22.918686
2021-01-10;24.2246;18.9229;29.5263;21.40107
2021-01-11;25.5418;20.2401;30.8435;23.188436
2021-01-12;25.5281;20.2264;30.8298;24.41881
2021-01-13;25.3394;20.0377;30.6411;24.584808
2021-01-14;25.2708;19.9691;30.5725;24.128374
2021-01-15;25.1743;19.6924;30.6563;22.547007
2021-01-16;24.8836;19.3333;30.4339;22.821112
2021-01-17;24.276;18.7258;29.8263;23.467538
2021-01-18;25.5933;20.043;31.1435;23.886394
2021-01-19;25.5795;20.0293;31.1298;23.916666
2021-01-20;25.3909;19.8406;30.9412;22.455709
2021-01-21;25.3223;19.772;30.8725;22.101859
2021-01-22;25.2258;19.5031;30.9485;24.064171
2021-01-23;24.9351;19.1469;30.7232;24.344743
2021-01-24;24.3275;18.5393;30.1157;23.330523
2021-01-25;25.6447;19.8566;31.4329;24.001792
2021-01-26;25.631;19.8428;31.4192;23.362297
2021-01-27;25.4424;19.6542;31.2305;22.528331
2021-01-28;25.3737;19.5856;31.1619;22.316018
2021-01-29;25.2773;19.3236;31.2309;21.606677
2021-01-30;24.9865;18.9699;31.0032;20.137513
2021-01-31;24.379;18.3623;30.3956;22.103055
2021-02-01;25.6962;19.6795;31.7129;24.910229
2021-02-02;25.6825;19.6658;31.6991;24.14827
2021-02-03;25.4938;19.4772;31.5105;23.173112
2021-02-04;25.4252;19.4085;31.4419;25.66613
2021-02-05;25.3287;19.1527;31.5048;26.333276
2021-02-06;25.038;18.8012;31.2748;23.375564
2021-02-07;24.4304;18.1936;30.6672;21.869725
2021-02-08;25.7477;19.5109;31.9845;23.66705
2021-02-09;25.7339;19.4971;31.9707;24.703644
2021-02-10;25.5453;19.3085;31.7821;25.279392
2021-02-11;25.4767;19.2399;31.7135;25.976613
2021-02-12;25.3802;18.9895;31.7709;24.956882
2021-02-13;25.0895;18.64;31.5389;21.232069
2021-02-14;24.4819;18.0325;30.9313;18.680598
2021-02-15;25.7991;19.3497;32.2486;21.060376
2021-02-16;25.7854;19.336;32.2348;21.526862
2021-02-17;25.5968;19.1473;32.0462;23.640704
2021-02-18;25.5281;19.0787;31.9776;26.587846
2021-02-19;25.4317;18.8333;32.03;27.336431
2021-02-20;25.1409;18.4857;31.7962;22.088495
2021-02-21;24.5334;17.8781;31.1886;21.583705
2021-02-22;25.8506;19.1953;32.5059;25.81373
2021-02-23;25.8369;19.1816;32.4921;26.765301
2021-02-24;25.6482;18.993;32.3035;26.786506
2021-02-25;25.5796;18.9243;32.2349;24.367097
2021-02-26;25.4831;18.6834;32.2828;23.835158
2021-02-27;25.1924;18.3375;32.0473;24.033021
2021-02-28;24.5848;17.7299;31.4398;21.644375
2021-03-01;25.9021;19.0472;32.757;23.928258
2021-03-02;25.8883;19.0334;32.7433;24.082691
2021-03-03;25.6997;18.8448;32.5546;22.846515
2021-03-04;25.6311;18.7761;32.486;23.090688
2021-03-05;25.5346;18.5394;32.5298;24.137037
2021-03-06;25.2439;18.195;32.2928;22.420092
2021-03-07;24.6363;17.5874;31.6852;21.813698
2021-03-08;25.9536;18.9046;33.0025;24.057632
2021-03-09;25.9398;18.8909;32.9887;22.800505
2021-03-10;25.7512;18.7022;32.8001;22.552554
2021-03-11;25.6825;18.6336;32.7315;22.650977
2021-03-12;25.5861;18.4006;32.7715;24.610789
2021-03-13;25.2954;18.0576;32.5331;23.385074
2021-03-14;24.6878;17.45;31.9255;22.283641
2021-03-15;26.005;18.7673;33.2428;25.520534
2021-03-16;25.9913;18.7535;33.229;26.367289
2021-03-17;25.8026;18.5649;33.0404;26.320802
2021-03-18;25.734;18.4963;32.9717;23.570869
2021-03-19;25.6375;18.2668;33.0083;24.86559
2021-03-20;25.3468;17.9251;32.7686;24.385729
2021-03-21;24.7393;17.3175;32.161;21.788135
2021-03-22;26.0565;18.6347;33.4782;25.289817
2021-03-23;26.0428;18.621;33.4645;25.577923
2021-03-24;25.8541;18.4324;33.2759;24.198052
2021-03-25;25.7855;18.3637;33.2072;25.690906
2021-03-26;25.689;18.1375;33.2405;26.77906
2021-03-27;25.3983;17.797;32.9996;25.573357
2021-03-28;24.7907;17.1894;32.392;22.859116
2021-03-29;26.108;18.5067;33.7092;26.085947
2021-03-30;26.0942;18.4929;33.6955;24.42221
2021-03-31;25.9056;18.3043;33.5069;23.172344
2021-04-01;25.8369;18.2356;33.4382;24.904785
2021-04-02;25.7405;18.0124;33.4685;23.391967
2021-04-03;25.4498;17.6731;33.2265;23.425123
2021-04-04;24.8422;17.0655;32.6189;23.39971
2021-04-05;26.1594;18.3827;33.9361;26.973379
2021-04-06;26.1457;18.369;33.9224;26.797877
2021-04-07;25.957;18.1803;33.7337;27.248485
2021-04-08;25.8884;18.1117;33.6651;27.235706
2021-04-09;25.7919;17.8913;33.6926;21.803793
2021-04-10;25.5012;17.553;33.4495;20.761694
2021-04-11;24.8937;16.9454;32.8419;20.123899
2021-04-12;26.2109;18.2627;34.1591;21.2443
2021-04-13;26.1972;18.2489;34.1454;21.890969
2021-04-14;26.0085;18.0603;33.9568;20.609232
2021-04-15;25.9399;17.9916;33.8881;21.364868
2021-04-16;25.8434;17.7738;33.913;20.581133
2021-04-17;25.5527;17.4365;33.6688;20.145404
2021-04-18;24.9451;16.829;33.0613;17.46739
2021-04-19;26.2624;18.1462;34.3785;21.261752
2021-04-20;26.2486;18.1325;34.3648;22.617271
2021-04-21;26.06;17.9438;34.1761;21.192697
2021-04-22;25.9913;17.8752;34.1075;20.567382
