;y_pred;geracao
2021-01-01;23.8458;22.876548
2021-01-02;23.0523;24.64027
2021-01-03;22.6682;21.461506
2021-01-04;24.1673;23.42042
2021-01-05;23.9313;24.242198
2021-01-06;23.9042;24.26029
2021-01-07;24.1278;24.438743
2021-01-08;24.3701;24.468529
2021-01-09;23.4268;22.918686
2021-01-10;22.9253;21.40107
2021-01-11;23.9662;23.188436
2021-01-12;24.3559;24.41881
2021-01-13;24.3912;24.584808
2021-01-14;24.298;24.128374
2021-01-15;24.164;22.547007
2021-01-16;23.6168;22.821112
2021-01-17;23.0315;23.467538
2021-01-18;24.509;23.886394
2021-01-19;24.7458;23.916666
2021-01-20;24.4103;22.455709
2021-01-21;24.2681;22.101859
2021-01-22;24.0487;24.064171
2021-01-23;23.9914;24.344743
2021-01-24;23.2769;23.330523
2021-01-25;24.1656;24.001792
2021-01-26;24.4669;23.362297
2021-01-27;24.4163;22.528331
2021-01-28;24.3911;22.316018
2021-01-29;24.7085;21.606677
2021-01-30;23.9556;20.137513
2021-01-31;23.1859;22.103055
2021-02-01;24.1498;24.910229
2021-02-02;24.2474;24.14827
2021-02-03;24.3352;23.173112
2021-02-04;24.4364;25.66613
2021-02-05;24.6169;26.333276
2021-02-06;24.4374;23.375564
2021-02-07;23.9425;21.869725
2021-02-08;24.9235;23.66705
2021-02-09;24.7617;24.703644
2021-02-10;24.483;25.279392
2021-02-11;24.4311;25.976613
2021-02-12;24.8251;24.956882
2021-02-13;24.2544;21.232069
2021-02-14;23.4053;18.680598
2021-02-15;24.3517;21.060376
2021-02-16;24.3774;21.526862
2021-02-17;24.4632;23.640704
2021-02-18;24.5552;26.587846
2021-02-19;24.7208;27.336431
2021-02-20;24.1114;22.088495
2021-02-21;23.3417;21.583705
2021-02-22;24.3056;25.81373
2021-02-23;24.4032;26.765301
2021-02-24;24.491;26.786506
2021-02-25;24.5922;24.367097
2021-02-26;25.2026;23.835158
2021-02-27;24.868;24.033021
2021-02-28;24.1154;21.644375
2021-03-01;24.8199;23.928258
2021-03-02;24.5511;24.082691
2021-03-03;24.4856;22.846515
2021-03-04;24.8004;23.090688
2021-03-05;25.0195;24.137037
2021-03-06;24.3308;22.420092
2021-03-07;23.5435;21.813698
2021-03-08;24.4356;24.057632
2021-03-09;24.5312;22.800505
2021-03-10;24.6097;22.552554
2021-03-11;24.696;22.650977
2021-03-12;24.8766;24.610789
2021-03-13;24.2672;23.385074
2021-03-14;23.4974;22.283641
2021-03-15;24.4614;25.520534
2021-03-16;24.559;26.367289
2021-03-17;24.6468;26.320802
2021-03-18;25.1778;23.570869
2021-03-19;25.6331;24.86559
2021-03-20;25.0409;24.385729
2021-03-21;24.0117;21.788135
2021-03-22;24.6092;25.289817
2021-03-23;24.5537;25.577923
2021-03-24;24.8549;24.198052
2021-03-25;24.9948;25.690906
2021-03-26;25.096;26.77906
2021-03-27;24.469;25.573357
2021-03-28;23.6274;22.859116
2021-03-29;24.5894;26.085947
2021-03-30;24.6778;24.42221
2021-03-31;24.7506;23.172344
2021-04-01;24.8518;24.904785
2021-04-02;25.0323;23.391967
2021-04-03;24.4229;23.425123
2021-04-04;23.6532;23.39971
2021-04-05;24.6171;26.973379
2021-04-06;24.7148;26.797877
2021-04-07;25.2324;27.248485
2021-04-08;25.6084;27.235706
2021-04-09;25.8061;21.803793
2021-04-10;24.9372;20.761694
2021-04-11;23.8011;20.123899
2021-04-12;24.6118;21.2443
2021-04-13;24.923;21.890969
2021-04-14;25.0494;20.609232
2021-04-15;25.0713;21.364868
2021-04-16;25.2342;20.581133
2021-04-17;24.5529;20.145404
2021-04-18;23.7812;17.46739
2021-04-19;24.7359;21.261752
2021-04-20;24.8186;22.617271
2021-04-21;24.9064;21.192697
2021-04-22;25.0076;20.567382
2021-04-23;25.1881;20.506039
2021-04-24;24.5787;18.820461
2021-04-25;23.809;18.355305
2021-04-26;24.7729;21.82629
2021-04-27;25.3004;22.944148
2021-04-28;25.663;23.961859
2021-04-29;25.7814;20.559234
2021-04-30;25.7024;24.23467
2021-05-01;24.7266;19.950997
2021-05-02;23.8037;21.007086
2021-05-03;24.9811;23.364333
2021-05-04;25.1174;22.913229
2021-05-05;25.1258;23.85542
2021-05-06;25.2095;24.881838
2021-05-07;25.3181;25.1714
2021-05-08;24.7067;20.263204
2021-05-09;23.9278;19.182708
2021-05-10;24.8768;21.323935
2021-05-11;24.9744;21.295823
2021-05-12;25.0622;20.215235
2021-05-13;25.1634;21.009405
2021-05-14;25.3439;21.480271
2021-05-15;24.7345;19.805673
2021-05-16;23.9648;18.088276
2021-05-17;25.3585;20.008076
2021-05-18;25.731;21.711468
2021-05-19;25.8359;21.528842
2021-05-20;25.6777;25.085692
2021-05-21;25.4918;25.124596
2021-05-22;24.7292;24.794134
2021-05-23;24.173;20.487876
2021-05-24;25.1755;24.532939
2021-05-25;25.1938;24.583325
2021-05-26;25.264;24.725825
2021-05-27;25.2934;24.752843
2021-05-28;25.4719;25.027724
2021-05-29;24.8533;25.150822
2021-05-30;24.0686;23.331644
2021-05-31;25.0326;24.36052
2021-06-01;25.1302;22.408397
2021-06-02;25.2179;24.490846
2021-06-03;25.3192;25.384644
2021-06-04;25.4997;26.283818
2021-06-05;24.8903;25.23669
2021-06-06;24.5504;25.999123
2021-06-07;25.7891;25.739112
2021-06-08;25.9039;26.145476
2021-06-09;25.7322;26.056331
2021-06-10;25.467;26.089686
2021-06-11;25.4944;26.111743
2021-06-12;25.0985;25.020766
2021-06-13;24.3674;24.217967
2021-06-14;25.252;24.019264
2021-06-15;25.3321;25.13234
2021-06-16;25.3479;25.068985
2021-06-17;25.4472;25.720228
2021-06-18;25.6185;26.070853
2021-06-19;24.9941;24.158062
2021-06-20;24.2244;23.57286
2021-06-21;25.1883;25.317842
2021-06-22;25.286;23.59825
2021-06-23;25.3737;26.261064
2021-06-24;25.475;21.873045
2021-06-25;25.6555;24.587697
2021-06-26;25.4759;28.368907
2021-06-27;24.981;26.465526
2021-06-28;25.9621;28.896851
2021-06-29;25.8003;28.758995
2021-06-30;25.5216;28.965368
2021-07-01;25.4696;28.977685
2021-07-02;25.8637;28.329011
2021-07-03;25.2929;26.191957
2021-07-04;24.4439;25.185521
2021-07-05;25.3902;27.976678
2021-07-06;25.416;29.912472
2021-07-07;25.5017;28.717168
2021-07-08;25.5937;28.62163
2021-07-09;25.7593;28.762049
2021-07-10;25.1499;28.729092
2021-07-11;24.3802;28.876909
2021-07-12;25.3441;28.817467
2021-07-13;25.4418;29.328019
2021-07-14;25.5295;28.67397
2021-07-15;25.6307;28.940171
2021-07-16;26.2411;28.986744
2021-07-17;25.9065;30.556245
2021-07-18;25.154;29.431022
2021-07-19;25.8584;28.918519
2021-07-20;25.5896;28.91049
2021-07-21;25.5242;28.647296
2021-07-22;25.8389;28.774096
2021-07-23;26.0581;29.023534
2021-07-24;25.3694;21.892259
2021-07-25;24.5821;24.650554
2021-07-26;25.4741;28.739505
2021-07-27;25.5697;29.003129
2021-07-28;25.6483;28.779091
2021-07-29;25.7346;28.217164
2021-07-30;25.9151;28.494226
2021-07-31;25.3057;28.408902
2021-08-01;24.536;28.517708
2021-08-02;25.4999;28.68518
2021-08-03;25.5975;30.593401
2021-08-04;25.6853;30.331454
2021-08-05;26.2164;30.364641
2021-08-06;26.6717;29.783028
2021-08-07;26.0794;29.567201
2021-08-08;25.0503;28.639141
2021-08-09;25.6477;29.683208
2021-08-10;25.5922;30.150066
2021-08-11;25.8935;30.41494
2021-08-12;26.0333;30.420651
2021-08-13;26.1345;30.736477
2021-08-14;25.5076;29.821013
2021-08-15;24.666;29.222712
2021-08-16;25.6279;29.33922
2021-08-17;25.7163;30.027497
2021-08-18;25.7891;29.934656
2021-08-19;25.8904;30.303495
2021-08-20;26.0709;30.243234
2021-08-21;25.4615;23.847657
2021-08-22;24.6918;24.696551
2021-08-23;25.6557;27.118468
2021-08-24;25.7533;27.136133
2021-08-25;26.2709;26.731849
2021-08-26;26.6469;26.666377
2021-08-27;26.8446;26.617743
2021-08-28;25.9758;27.134267
2021-08-29;24.8396;26.499983
2021-08-30;25.6504;28.126376
2021-08-31;25.9615;28.325913
2021-09-01;26.0879;28.180737
2021-09-02;26.1098;28.252073
2021-09-03;26.2728;28.069572
2021-09-04;25.5915;27.456967
2021-09-05;24.8198;26.448312
2021-09-06;25.7744;26.966746
2021-09-07;25.8572;27.015706
2021-09-08;25.9449;27.434482
2021-09-09;26.0462;26.772105
2021-09-10;26.2267;26.721372
2021-09-11;25.6173;27.037379
2021-09-12;24.8475;24.493372
2021-09-13;25.8115;27.0194
2021-09-14;26.3389;26.694318
2021-09-15;26.7015;27.136761
2021-09-16;26.8199;28.041323
2021-09-17;26.7409;28.107548
2021-09-18;25.7651;23.841031
2021-09-19;24.8422;23.276179
2021-09-20;26.0197;23.572144
2021-09-21;26.1559;25.554118
2021-09-22;26.1644;27.361304
2021-09-23;26.248;27.187713
2021-09-24;26.3566;25.074927
2021-09-25;25.7453;25.685208
2021-09-26;24.9663;24.285812
2021-09-27;25.9153;25.566881
2021-09-28;26.0129;25.621539
2021-09-29;26.1007;25.59359
2021-09-30;26.2019;22.466073
2021-10-01;26.3824;26.148707
2021-10-02;25.773;21.93869
2021-10-03;25.0033;20.200572
2021-10-04;26.3971;21.819966
2021-10-05;26.7695;23.14812
2021-10-06;26.8745;26.030742
2021-10-07;26.7162;23.609967
2021-10-08;26.5303;26.374461
2021-10-09;25.7677;28.575979
2021-10-10;25.2115;27.097972
2021-10-11;26.2141;28.143214
2021-10-12;26.2324;28.438315
2021-10-13;26.3026;29.000375
2021-10-14;26.3319;29.044525
2021-10-15;26.5104;28.661109
2021-10-16;25.8918;28.363216
2021-10-17;25.1072;27.121159
2021-10-18;26.0711;29.58932
2021-10-19;26.1687;29.300834
2021-10-20;26.2565;29.229894
2021-10-21;26.3577;29.349305
2021-10-22;26.5382;29.483013
2021-10-23;25.9288;28.61415
2021-10-24;25.589;27.061795
2021-10-25;26.8277;28.33639
2021-10-26;26.9425;28.312254
2021-10-27;26.7708;28.106268
2021-10-28;26.5056;26.488652
2021-10-29;26.5329;27.76935
2021-10-30;26.137;26.335388
2021-10-31;25.4059;26.661702
2021-11-01;26.2905;28.354347
2021-11-02;26.3706;28.231204
2021-11-03;26.3865;29.246233
2021-11-04;26.4857;30.397736
2021-11-05;26.657;29.650116
2021-11-06;26.0327;30.624156
2021-11-07;25.263;26.922115
2021-11-08;26.2269;30.103053
2021-11-09;26.3245;29.29461
2021-11-10;26.4123;29.225342
2021-11-11;26.5135;30.36506
2021-11-12;26.694;30.044247
2021-11-13;26.5144;30.358853
2021-11-14;26.0195;28.251287
2021-11-15;27.0006;29.685297
2021-11-16;26.8388;30.078636
2021-11-17;26.5601;30.299484
2021-11-18;26.5082;30.141613
2021-11-19;26.9022;29.562873
2021-11-20;26.3314;29.913904
2021-11-21;25.4824;27.741706
2021-11-22;26.4287;29.681267
2021-11-23;26.4545;28.970383
2021-11-24;26.5403;24.472482
2021-11-25;26.6323;29.507726
2021-11-26;26.7979;29.944548
2021-11-27;26.1885;28.235968
2021-11-28;25.4187;28.315372
2021-11-29;26.3827;28.550106
2021-11-30;26.4803;27.908241
2021-12-01;26.568;27.909864
2021-12-02;26.6693;28.394132
2021-12-03;27.2796;28.297838
2021-12-04;26.945;28.477318
2021-12-05;26.1925;22.301147
2021-12-06;26.8969;28.272522
2021-12-07;26.6281;28.372406
2021-12-08;26.5627;28.284889
2021-12-09;26.8775;27.926775
2021-12-10;27.0966;27.979277
2021-12-11;26.4079;28.394692
2021-12-12;25.6206;20.203957
2021-12-13;26.5126;19.638863
2021-12-14;26.6083;23.239156
2021-12-15;26.6868;26.533446
2021-12-16;26.7731;26.749136
2021-12-17;26.9536;27.69893
2021-12-18;26.3442;23.67301
2021-12-19;25.5745;18.584675
2021-12-20;26.5384;22.364811
2021-12-21;26.6361;21.673444
2021-12-22;26.7238;23.548065
2021-12-23;27.2549;24.359339
2021-12-24;27.7102;21.541523
2021-12-25;27.118;19.860444
2021-12-26;26.0888;17.592541
2021-12-27;26.6863;21.742712
2021-12-28;26.6308;17.41888
2021-12-29;26.932;16.949582
2021-12-30;27.0719;17.836814
2021-12-31;27.1731;19.155768
