;y_pred;geracao
2021-01-01;24.1337;22.876548
2021-01-02;23.4665;24.64027
2021-01-03;23.1952;21.461506
2021-01-04;24.3851;23.42042
2021-01-05;24.4691;24.242198
2021-01-06;24.4224;24.26029
2021-01-07;24.3684;24.438743
2021-01-08;24.2763;24.468529
2021-01-09;23.667;22.918686
2021-01-10;22.9571;21.40107
2021-01-11;24.3603;23.188436
2021-01-12;24.5369;24.41881
2021-01-13;24.4776;24.584808
2021-01-14;24.5827;24.128374
2021-01-15;24.5306;22.547007
2021-01-16;23.6479;22.821112
2021-01-17;22.9727;23.467538
2021-01-18;24.2327;23.886394
2021-01-19;24.4707;23.916666
2021-01-20;24.5828;22.455709
2021-01-21;24.6738;22.101859
2021-01-22;24.7941;24.064171
2021-01-23;24.0874;24.344743
2021-01-24;23.0392;23.330523
2021-01-25;24.2139;24.001792
2021-01-26;24.214;23.362297
2021-01-27;24.5196;22.528331
2021-01-28;24.5272;22.316018
2021-01-29;24.5016;21.606677
2021-01-30;24.0514;20.137513
2021-01-31;22.9897;22.103055
2021-02-01;24.1083;24.910229
2021-02-02;24.3016;24.14827
2021-02-03;24.4151;23.173112
2021-02-04;24.4569;25.66613
2021-02-05;24.3464;26.333276
2021-02-06;23.8161;23.375564
2021-02-07;23.0515;21.869725
2021-02-08;24.1276;23.66705
2021-02-09;24.4121;24.703644
2021-02-10;24.4034;25.279392
2021-02-11;24.3863;25.976613
2021-02-12;24.4031;24.956882
2021-02-13;23.7083;21.232069
2021-02-14;22.9487;18.680598
2021-02-15;24.0117;21.060376
2021-02-16;24.3756;21.526862
2021-02-17;24.4921;23.640704
2021-02-18;24.376;26.587846
2021-02-19;24.3277;27.336431
2021-02-20;23.7068;22.088495
2021-02-21;22.8564;21.583705
2021-02-22;23.9026;25.81373
2021-02-23;24.284;26.765301
2021-02-24;24.5129;26.786506
2021-02-25;24.3223;24.367097
2021-02-26;24.3513;23.835158
2021-02-27;23.7286;24.033021
2021-02-28;22.9371;21.644375
2021-03-01;23.9519;23.928258
2021-03-02;24.136;24.082691
2021-03-03;24.385;22.846515
2021-03-04;24.2752;23.090688
2021-03-05;24.4499;24.137037
