;y_pred;lower;upper;geracao
2021-01-01;24.9336;24.7993;25.1503;22.876548
2021-01-02;24.3229;24.2642;24.5997;24.64027
2021-01-03;23.5347;23.4759;23.8059;21.461506
2021-01-04;24.4548;24.4415;24.7983;23.42042
2021-01-05;24.5043;24.4307;24.8502;24.242198
2021-01-06;24.5098;24.4343;24.7592;24.26029
2021-01-07;24.5308;24.2939;24.5911;24.438743
2021-01-08;24.6241;24.4282;24.8133;24.468529
2021-01-09;23.9043;23.6494;23.9706;22.918686
2021-01-10;23.0113;22.7871;23.1095;21.40107
2021-01-11;23.8325;23.5772;23.9275;23.188436
2021-01-12;23.791;23.5447;23.8058;24.41881
2021-01-13;23.7148;23.473;23.7821;24.584808
2021-01-14;23.6649;23.602;23.9281;24.128374
2021-01-15;23.6993;23.3448;23.6619;22.547007
2021-01-16;22.9333;22.7912;23.1567;22.821112
2021-01-17;22.0076;21.6941;22.0378;23.467538
2021-01-18;22.8101;22.5249;22.9117;23.886394
2021-01-19;22.7638;22.7425;23.1334;23.916666
2021-01-20;22.6966;22.5579;22.922;22.455709
2021-01-21;22.669;22.4227;22.7247;22.101859
2021-01-22;22.7384;22.5687;22.8461;24.064171
2021-01-23;22.0191;21.72;22.085;24.344743
2021-01-24;21.1506;21.038;21.4066;23.330523
2021-01-25;22.0192;21.8694;22.1741;24.001792
2021-01-26;22.0465;21.7683;22.117;23.362297
2021-01-27;22.0586;21.732;22.1123;22.528331
2021-01-28;22.1142;21.8175;22.1853;22.316018
2021-01-29;22.2687;22.0856;22.4852;21.606677
2021-01-30;21.6344;21.4335;21.6994;20.137513
2021-01-31;20.8488;20.779;21.1203;22.103055
2021-02-01;21.7965;21.6173;21.987;24.910229
2021-02-02;21.8972;21.7278;22.0922;24.14827
2021-02-03;21.9753;21.7789;22.1501;23.173112
2021-02-04;22.0879;21.9455;22.3144;25.66613
2021-02-05;22.289;22.0257;22.3579;26.333276
2021-02-06;21.6901;21.4734;21.8166;23.375564
2021-02-07;20.9276;20.7953;21.1861;21.869725
2021-02-08;21.8856;21.7763;22.1754;23.66705
2021-02-09;21.9834;21.9191;22.256;24.703644
2021-02-10;22.0454;21.8151;22.205;25.279392
2021-02-11;22.129;22.0121;22.3775;25.976613
2021-02-12;22.2888;21.9612;22.3351;24.956882
2021-02-13;21.6368;21.2892;21.5566;21.232069
2021-02-14;20.8107;20.5678;20.9517;18.680598
2021-02-15;21.6959;21.5476;21.7994;21.060376
2021-02-16;21.7131;21.5388;21.808;21.526862
2021-02-17;21.6885;21.5063;21.8803;23.640704
2021-02-18;21.6812;21.3962;21.8082;26.587846
2021-02-19;21.7478;21.8143;22.1704;27.336431
2021-02-20;21.0024;20.6866;21.1791;22.088495
2021-02-21;20.0847;19.9363;20.2602;21.583705
2021-02-22;20.8818;20.7098;21.0156;25.81373
2021-02-23;20.8168;20.6078;20.9511;26.765301
2021-02-24;20.7174;20.3831;20.7721;26.786506
2021-02-25;20.6447;20.5006;20.7908;24.367097
2021-02-26;20.6567;20.4842;20.7983;23.835158
2021-02-27;19.8689;19.5962;19.9696;24.033021
2021-02-28;18.9221;18.6723;18.9936;21.644375
2021-03-01;19.7045;19.5119;19.839;23.928258
2021-03-02;19.6394;19.5113;19.8199;24.082691
