;ds;trend;yhat_lower;yhat_upper;trend_lower;trend_upper;All Souls' Day;All Souls' Day_lower;All Souls' Day_upper;Christmas;Christmas_lower;Christmas_upper;Independence Day;Independence Day_lower;Independence Day_upper;New Year's Day;New Year's Day_lower;New Year's Day_upper;Our Lady of the Apparition;Our Lady of the Apparition_lower;Our Lady of the Apparition_upper;Republic Proclamation Day;Republic Proclamation Day_lower;Republic Proclamation Day_upper;Tiradentes;Tiradentes_lower;Tiradentes_upper;Worker's Day;Worker's Day_lower;Worker's Day_upper;additive_terms;additive_terms_lower;additive_terms_upper;daily;daily_lower;daily_upper;holidays;holidays_lower;holidays_upper;weekly;weekly_lower;weekly_upper;yearly;yearly_lower;yearly_upper;multiplicative_terms;multiplicative_terms_lower;multiplicative_terms_upper;yhat
0;2018-01-01;18.388926567237913;16.824211174204628;24.72674080962518;18.388926567237913;18.388926567237913;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.005637089059549715;-0.005637089059549715;-0.005637089059549715;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.517508343760582;2.517508343760582;2.517508343760582;1.0878045593334367;1.0878045593334367;1.0878045593334367;-0.005637089059549715;-0.005637089059549715;-0.005637089059549715;0.023516983950339566;0.023516983950339566;0.023516983950339566;1.411823889536356;1.411823889536356;1.411823889536356;0.0;0.0;0.0;20.906434910998495
1;2018-01-02;18.394320810712603;17.24922216897117;25.043058855558;18.394320810712603;18.394320810712603;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.6524943528518103;2.6524943528518103;2.6524943528518103;1.0878045593334367;1.0878045593334367;1.0878045593334367;0.0;0.0;0.0;0.1324565566752457;0.1324565566752457;0.1324565566752457;1.4322332368431283;1.4322332368431283;1.4322332368431283;0.0;0.0;0.0;21.046815163564414
2;2018-01-03;18.39971505418729;17.240373582580414;25.426027780146693;18.39971505418729;18.39971505418729;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.7308476885527537;2.7308476885527537;2.7308476885527537;1.0878045593334367;1.0878045593334367;1.0878045593334367;0.0;0.0;0.0;0.2088956060172232;0.2088956060172232;0.2088956060172232;1.4341475232020942;1.4341475232020942;1.4341475232020942;0.0;0.0;0.0;21.130562742740043
3;2018-01-04;18.40510929766198;17.2432943314671;25.394407510162132;18.40510929766198;18.40510929766198;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.825958970696848;2.825958970696848;2.825958970696848;1.0878045593334367;1.0878045593334367;1.0878045593334367;0.0;0.0;0.0;0.32104886942457495;0.32104886942457495;0.32104886942457495;1.4171055419388372;1.4171055419388372;1.4171055419388372;0.0;0.0;0.0;21.23106826835883
4;2018-01-05;18.410503541136666;17.33601402999978;25.388216965513582;18.410503541136666;18.410503541136666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0095679654164003;3.0095679654164003;3.0095679654164003;1.0878045593334367;1.0878045593334367;1.0878045593334367;0.0;0.0;0.0;0.5407701139340085;0.5407701139340085;0.5407701139340085;1.3809932921489547;1.3809932921489547;1.3809932921489547;0.0;0.0;0.0;21.420071506553068
5;2018-01-06;18.415897784611357;16.77228984766882;24.944309057093516;18.415897784611357;18.415897784611357;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.246950431449766;2.246950431449766;2.246950431449766;1.0878045593334367;1.0878045593334367;1.0878045593334367;0.0;0.0;0.0;-0.1668986050435131;-0.1668986050435131;-0.1668986050435131;1.3260444771598423;1.3260444771598423;1.3260444771598423;0.0;0.0;0.0;20.66284821606112
6;2018-01-07;18.421292028086047;15.777411626859736;23.774204288174328;18.421292028086047;18.421292028086047;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.280849354245359;1.280849354245359;1.280849354245359;1.0878045593334367;1.0878045593334367;1.0878045593334367;0.0;0.0;0.0;-1.0597895249559124;-1.0597895249559124;-1.0597895249559124;1.252834319867835;1.252834319867835;1.252834319867835;0.0;0.0;0.0;19.702141382331405
7;2018-01-08;18.426686271560737;16.91785813429446;24.888824978003615;18.426686271560737;18.426686271560737;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.273588315859602;2.273588315859602;2.273588315859602;1.0878045593334367;1.0878045593334367;1.0878045593334367;0.0;0.0;0.0;0.023516983949142405;0.023516983949142405;0.023516983949142405;1.1622667725770228;1.1622667725770228;1.1622667725770228;0.0;0.0;0.0;20.70027458742034
8;2018-01-09;18.432080515035423;16.582526389093697;24.58429954501248;18.432080515035423;18.432080515035423;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.2758164476273266;2.2758164476273266;2.2758164476273266;1.0878045593334367;1.0878045593334367;1.0878045593334367;0.0;0.0;0.0;0.13245655667472184;0.13245655667472184;0.13245655667472184;1.0555553316191686;1.0555553316191686;1.0555553316191686;0.0;0.0;0.0;20.70789696266275
9;2018-01-10;18.43747475851011;16.728329349090323;25.091360874610896;18.43747475851011;18.43747475851011;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.230897962683516;2.230897962683516;2.230897962683516;1.0878045593334367;1.0878045593334367;1.0878045593334367;0.0;0.0;0.0;0.20889560601688115;0.20889560601688115;0.20889560601688115;0.9341977973331981;0.9341977973331981;0.9341977973331981;0.0;0.0;0.0;20.668372721193627
