;ds;y
1096;2021-01-01;22.876548
1097;2021-01-02;24.64027
1098;2021-01-03;21.461506
1099;2021-01-04;23.42042
1100;2021-01-05;24.242198
1101;2021-01-06;24.26029
1102;2021-01-07;24.438743
1103;2021-01-08;24.468529
1104;2021-01-09;22.918686
1105;2021-01-10;21.40107
1106;2021-01-11;23.188436
1107;2021-01-12;24.41881
1108;2021-01-13;24.584808
1109;2021-01-14;24.128374
1110;2021-01-15;22.547007
1111;2021-01-16;22.821112
1112;2021-01-17;23.467538
1113;2021-01-18;23.886394
1114;2021-01-19;23.916666
1115;2021-01-20;22.455709
1116;2021-01-21;22.101859
1117;2021-01-22;24.064171
1118;2021-01-23;24.344743
1119;2021-01-24;23.330523
1120;2021-01-25;24.001792
1121;2021-01-26;23.362297
1122;2021-01-27;22.528331
1123;2021-01-28;22.316018
1124;2021-01-29;21.606677
1125;2021-01-30;20.137513
1126;2021-01-31;22.103055
1127;2021-02-01;24.910229
1128;2021-02-02;24.14827
1129;2021-02-03;23.173112
1130;2021-02-04;25.66613
1131;2021-02-05;26.333276
1132;2021-02-06;23.375564
1133;2021-02-07;21.869725
1134;2021-02-08;23.66705
1135;2021-02-09;24.703644
1136;2021-02-10;25.279392
1137;2021-02-11;25.976613
1138;2021-02-12;24.956882
1139;2021-02-13;21.232069
1140;2021-02-14;18.680598
1141;2021-02-15;21.060376
1142;2021-02-16;21.526862
1143;2021-02-17;23.640704
1144;2021-02-18;26.587846
1145;2021-02-19;27.336431
1146;2021-02-20;22.088495
1147;2021-02-21;21.583705
1148;2021-02-22;25.81373
1149;2021-02-23;26.765301
1150;2021-02-24;26.786506
1151;2021-02-25;24.367097
1152;2021-02-26;23.835158
1153;2021-02-27;24.033021
1154;2021-02-28;21.644375
1155;2021-03-01;23.928258
1156;2021-03-02;24.082691
1157;2021-03-03;22.846515
1158;2021-03-04;23.090688
1159;2021-03-05;24.137037
1160;2021-03-06;22.420092
1161;2021-03-07;21.813698
1162;2021-03-08;24.057632
1163;2021-03-09;22.800505
1164;2021-03-10;22.552554
1165;2021-03-11;22.650977
1166;2021-03-12;24.610789
1167;2021-03-13;23.385074
1168;2021-03-14;22.283641
1169;2021-03-15;25.520534
1170;2021-03-16;26.367289
1171;2021-03-17;26.320802
1172;2021-03-18;23.570869
1173;2021-03-19;24.86559
1174;2021-03-20;24.385729
1175;2021-03-21;21.788135
1176;2021-03-22;25.289817
1177;2021-03-23;25.577923
1178;2021-03-24;24.198052
1179;2021-03-25;25.690906
1180;2021-03-26;26.77906
1181;2021-03-27;25.573357
1182;2021-03-28;22.859116
1183;2021-03-29;26.085947
1184;2021-03-30;24.42221
1185;2021-03-31;23.172344
1186;2021-04-01;24.904785
1187;2021-04-02;23.391967
1188;2021-04-03;23.425123
1189;2021-04-04;23.39971
1190;2021-04-05;26.973379
1191;2021-04-06;26.797877
1192;2021-04-07;27.248485
1193;2021-04-08;27.235706
1194;2021-04-09;21.803793
1195;2021-04-10;20.761694
1196;2021-04-11;20.123899
1197;2021-04-12;21.2443
1198;2021-04-13;21.890969
1199;2021-04-14;20.609232
1200;2021-04-15;21.364868
1201;2021-04-16;20.581133
1202;2021-04-17;20.145404
1203;2021-04-18;17.46739
1204;2021-04-19;21.261752
1205;2021-04-20;22.617271
1206;2021-04-21;21.192697
1207;2021-04-22;20.567382
1208;2021-04-23;20.506039
1209;2021-04-24;18.820461
1210;2021-04-25;18.355305
1211;2021-04-26;21.82629
1212;2021-04-27;22.944148
1213;2021-04-28;23.961859
1214;2021-04-29;20.559234
1215;2021-04-30;24.23467
1216;2021-05-01;19.950997
1217;2021-05-02;21.007086
1218;2021-05-03;23.364333
1219;2021-05-04;22.913229
1220;2021-05-05;23.85542
1221;2021-05-06;24.881838
1222;2021-05-07;25.1714
1223;2021-05-08;20.263204
1224;2021-05-09;19.182708
1225;2021-05-10;21.323935
1226;2021-05-11;21.295823
1227;2021-05-12;20.215235
1228;2021-05-13;21.009405
1229;2021-05-14;21.480271
1230;2021-05-15;19.805673
1231;2021-05-16;18.088276
1232;2021-05-17;20.008076
1233;2021-05-18;21.711468
1234;2021-05-19;21.528842
1235;2021-05-20;25.085692
1236;2021-05-21;25.124596
1237;2021-05-22;24.794134
1238;2021-05-23;20.487876
1239;2021-05-24;24.532939
1240;2021-05-25;24.583325
1241;2021-05-26;24.725825
1242;2021-05-27;24.752843
1243;2021-05-28;25.027724
1244;2021-05-29;25.150822
1245;2021-05-30;23.331644
1246;2021-05-31;24.36052
1247;2021-06-01;22.408397
1248;2021-06-02;24.490846
1249;2021-06-03;25.384644
1250;2021-06-04;26.283818
1251;2021-06-05;25.23669
1252;2021-06-06;25.999123
1253;2021-06-07;25.739112
1254;2021-06-08;26.145476
1255;2021-06-09;26.056331
1256;2021-06-10;26.089686
1257;2021-06-11;26.111743
1258;2021-06-12;25.020766
1259;2021-06-13;24.217967
1260;2021-06-14;24.019264
1261;2021-06-15;25.13234
1262;2021-06-16;25.068985
1263;2021-06-17;25.720228
1264;2021-06-18;26.070853
1265;2021-06-19;24.158062
1266;2021-06-20;23.57286
1267;2021-06-21;25.317842
1268;2021-06-22;23.59825
1269;2021-06-23;26.261064
1270;2021-06-24;21.873045
1271;2021-06-25;24.587697
1272;2021-06-26;28.368907
1273;2021-06-27;26.465526
1274;2021-06-28;28.896851
1275;2021-06-29;28.758995
1276;2021-06-30;28.965368
1277;2021-07-01;28.977685
1278;2021-07-02;28.329011
1279;2021-07-03;26.191957
1280;2021-07-04;25.185521
1281;2021-07-05;27.976678
1282;2021-07-06;29.912472
1283;2021-07-07;28.717168
1284;2021-07-08;28.62163
1285;2021-07-09;28.762049
1286;2021-07-10;28.729092
1287;2021-07-11;28.876909
1288;2021-07-12;28.817467
1289;2021-07-13;29.328019
1290;2021-07-14;28.67397
1291;2021-07-15;28.940171
1292;2021-07-16;28.986744
1293;2021-07-17;30.556245
1294;2021-07-18;29.431022
1295;2021-07-19;28.918519
1296;2021-07-20;28.91049
1297;2021-07-21;28.647296
1298;2021-07-22;28.774096
1299;2021-07-23;29.023534
1300;2021-07-24;21.892259
1301;2021-07-25;24.650554
1302;2021-07-26;28.739505
1303;2021-07-27;29.003129
1304;2021-07-28;28.779091
1305;2021-07-29;28.217164
1306;2021-07-30;28.494226
1307;2021-07-31;28.408902
1308;2021-08-01;28.517708
1309;2021-08-02;28.68518
1310;2021-08-03;30.593401
1311;2021-08-04;30.331454
1312;2021-08-05;30.364641
1313;2021-08-06;29.783028
1314;2021-08-07;29.567201
1315;2021-08-08;28.639141
1316;2021-08-09;29.683208
1317;2021-08-10;30.150066
1318;2021-08-11;30.41494
1319;2021-08-12;30.420651
1320;2021-08-13;30.736477
1321;2021-08-14;29.821013
1322;2021-08-15;29.222712
1323;2021-08-16;29.33922
1324;2021-08-17;30.027497
1325;2021-08-18;29.934656
1326;2021-08-19;30.303495
1327;2021-08-20;30.243234
1328;2021-08-21;23.847657
1329;2021-08-22;24.696551
1330;2021-08-23;27.118468
1331;2021-08-24;27.136133
1332;2021-08-25;26.731849
1333;2021-08-26;26.666377
1334;2021-08-27;26.617743
1335;2021-08-28;27.134267
1336;2021-08-29;26.499983
1337;2021-08-30;28.126376
1338;2021-08-31;28.325913
1339;2021-09-01;28.180737
1340;2021-09-02;28.252073
1341;2021-09-03;28.069572
1342;2021-09-04;27.456967
1343;2021-09-05;26.448312
1344;2021-09-06;26.966746
1345;2021-09-07;27.015706
1346;2021-09-08;27.434482
1347;2021-09-09;26.772105
1348;2021-09-10;26.721372
1349;2021-09-11;27.037379
1350;2021-09-12;24.493372
1351;2021-09-13;27.0194
1352;2021-09-14;26.694318
1353;2021-09-15;27.136761
1354;2021-09-16;28.041323
1355;2021-09-17;28.107548
1356;2021-09-18;23.841031
1357;2021-09-19;23.276179
1358;2021-09-20;23.572144
1359;2021-09-21;25.554118
1360;2021-09-22;27.361304
1361;2021-09-23;27.187713
1362;2021-09-24;25.074927
1363;2021-09-25;25.685208
1364;2021-09-26;24.285812
1365;2021-09-27;25.566881
1366;2021-09-28;25.621539
1367;2021-09-29;25.59359
1368;2021-09-30;22.466073
1369;2021-10-01;26.148707
1370;2021-10-02;21.93869
1371;2021-10-03;20.200572
1372;2021-10-04;21.819966
1373;2021-10-05;23.14812
1374;2021-10-06;26.030742
1375;2021-10-07;23.609967
1376;2021-10-08;26.374461
1377;2021-10-09;28.575979
1378;2021-10-10;27.097972
1379;2021-10-11;28.143214
1380;2021-10-12;28.438315
1381;2021-10-13;29.000375
1382;2021-10-14;29.044525
1383;2021-10-15;28.661109
1384;2021-10-16;28.363216
1385;2021-10-17;27.121159
1386;2021-10-18;29.58932
1387;2021-10-19;29.300834
1388;2021-10-20;29.229894
1389;2021-10-21;29.349305
1390;2021-10-22;29.483013
1391;2021-10-23;28.61415
1392;2021-10-24;27.061795
1393;2021-10-25;28.33639
1394;2021-10-26;28.312254
1395;2021-10-27;28.106268
1396;2021-10-28;26.488652
1397;2021-10-29;27.76935
1398;2021-10-30;26.335388
1399;2021-10-31;26.661702
1400;2021-11-01;28.354347
1401;2021-11-02;28.231204
1402;2021-11-03;29.246233
1403;2021-11-04;30.397736
1404;2021-11-05;29.650116
1405;2021-11-06;30.624156
1406;2021-11-07;26.922115
1407;2021-11-08;30.103053
1408;2021-11-09;29.29461
1409;2021-11-10;29.225342
1410;2021-11-11;30.36506
1411;2021-11-12;30.044247
1412;2021-11-13;30.358853
1413;2021-11-14;28.251287
1414;2021-11-15;29.685297
1415;2021-11-16;30.078636
1416;2021-11-17;30.299484
1417;2021-11-18;30.141613
1418;2021-11-19;29.562873
1419;2021-11-20;29.913904
1420;2021-11-21;27.741706
1421;2021-11-22;29.681267
1422;2021-11-23;28.970383
1423;2021-11-24;24.472482
1424;2021-11-25;29.507726
1425;2021-11-26;29.944548
1426;2021-11-27;28.235968
1427;2021-11-28;28.315372
1428;2021-11-29;28.550106
1429;2021-11-30;27.908241
1430;2021-12-01;27.909864
1431;2021-12-02;28.394132
1432;2021-12-03;28.297838
1433;2021-12-04;28.477318
1434;2021-12-05;22.301147
1435;2021-12-06;28.272522
1436;2021-12-07;28.372406
1437;2021-12-08;28.284889
1438;2021-12-09;27.926775
1439;2021-12-10;27.979277
1440;2021-12-11;28.394692
1441;2021-12-12;20.203957
1442;2021-12-13;19.638863
1443;2021-12-14;23.239156
1444;2021-12-15;26.533446
1445;2021-12-16;26.749136
1446;2021-12-17;27.69893
1447;2021-12-18;23.67301
1448;2021-12-19;18.584675
1449;2021-12-20;22.364811
1450;2021-12-21;21.673444
1451;2021-12-22;23.548065
1452;2021-12-23;24.359339
1453;2021-12-24;21.541523
1454;2021-12-25;19.860444
1455;2021-12-26;17.592541
1456;2021-12-27;21.742712
1457;2021-12-28;17.41888
1458;2021-12-29;16.949582
1459;2021-12-30;17.836814
1460;2021-12-31;19.155768
