;ds;y
0;2018-01-01;18.118144
1;2018-01-02;17.801709
2;2018-01-03;17.267649
3;2018-01-04;17.303115
4;2018-01-05;17.672623
5;2018-01-06;17.775895
6;2018-01-07;17.588197
7;2018-01-08;17.384383
8;2018-01-09;17.911597
9;2018-01-10;16.894557
10;2018-01-11;15.025455
11;2018-01-12;16.097915
12;2018-01-13;16.795031
13;2018-01-14;16.761614
14;2018-01-15;16.86601
15;2018-01-16;16.92725358
16;2018-01-17;16.93435768
17;2018-01-18;16.93213
18;2018-01-19;17.103676
19;2018-01-20;17.223031
20;2018-01-21;16.43521
21;2018-01-22;16.899951
22;2018-01-23;17.098331
23;2018-01-24;16.906668
24;2018-01-25;17.198575
25;2018-01-26;16.801573
26;2018-01-27;17.080008
27;2018-01-28;16.104901
28;2018-01-29;15.721604
29;2018-01-30;16.005248
30;2018-01-31;16.97355
31;2018-02-01;17.209951
32;2018-02-02;17.094323
33;2018-02-03;17.115822
34;2018-02-04;16.847991
35;2018-02-05;17.137
36;2018-02-06;17.267496
37;2018-02-07;16.930324
38;2018-02-08;17.240623
39;2018-02-09;17.266734
40;2018-02-10;17.352393
41;2018-02-11;17.377259
42;2018-02-12;17.383366
43;2018-02-13;16.788814
44;2018-02-14;17.404238
45;2018-02-15;17.349464
46;2018-02-16;17.064184
47;2018-02-17;16.401089
48;2018-02-18;16.910439
49;2018-02-19;17.216571
50;2018-02-20;16.929889
51;2018-02-21;17.113157
52;2018-02-22;17.54334
53;2018-02-23;16.564445
54;2018-02-24;17.047285
55;2018-02-25;17.341901
56;2018-02-26;17.009171
57;2018-02-27;16.477607
58;2018-02-28;16.183626
59;2018-03-01;16.844762
60;2018-03-02;17.092079
61;2018-03-03;16.949326
62;2018-03-04;16.609433
63;2018-03-05;16.516724
64;2018-03-06;16.90902
65;2018-03-07;16.559905
66;2018-03-08;16.566116
67;2018-03-09;16.395822
68;2018-03-10;16.609704
69;2018-03-11;16.049394
70;2018-03-12;16.393424
71;2018-03-13;16.604223
72;2018-03-14;16.368982
73;2018-03-15;16.755334
74;2018-03-16;16.723613
75;2018-03-17;16.945016
76;2018-03-18;16.269927
77;2018-03-19;16.573295
78;2018-03-20;16.599606
79;2018-03-21;14.785902
80;2018-03-22;15.626558
81;2018-03-23;16.583664
82;2018-03-24;16.739621
83;2018-03-25;16.756521
84;2018-03-26;16.589447
85;2018-03-27;16.315827
86;2018-03-28;16.378618
87;2018-03-29;16.34144
88;2018-03-30;16.548542
89;2018-03-31;16.654481
90;2018-04-01;16.34367
91;2018-04-02;16.456493
92;2018-04-03;16.270401
93;2018-04-04;16.141199
94;2018-04-05;16.250874
95;2018-04-06;16.399625
96;2018-04-07;16.381041
97;2018-04-08;15.507872
98;2018-04-09;15.151157
99;2018-04-10;14.317155
100;2018-04-11;15.303259
101;2018-04-12;15.059807
102;2018-04-13;16.174055
103;2018-04-14;16.533883
104;2018-04-15;16.43683
105;2018-04-16;16.765585
106;2018-04-17;16.311464
107;2018-04-18;16.15686
108;2018-04-19;16.510553
109;2018-04-20;16.309967
110;2018-04-21;16.277816
111;2018-04-22;15.977072
112;2018-04-23;16.594464
113;2018-04-24;16.314298
114;2018-04-25;16.514167
115;2018-04-26;16.153593
116;2018-04-27;16.457259
117;2018-04-28;16.496464
118;2018-04-29;16.847072
119;2018-04-30;16.125348
120;2018-05-01;16.210447
121;2018-05-02;15.910532
122;2018-05-03;16.315571
123;2018-05-04;16.193068
124;2018-05-05;16.182836
125;2018-05-06;16.20698
126;2018-05-07;16.479701
127;2018-05-08;17.237857
128;2018-05-09;17.437757
129;2018-05-10;17.712561
130;2018-05-11;17.838622
131;2018-05-12;18.310436
132;2018-05-13;17.93144
133;2018-05-14;19.529667
134;2018-05-15;18.985558
135;2018-05-16;19.265812
136;2018-05-17;17.718816
137;2018-05-18;16.998199
138;2018-05-19;19.172197
139;2018-05-20;18.02803
140;2018-05-21;15.654937
141;2018-05-22;21.33117
142;2018-05-23;22.159573
143;2018-05-24;21.501667
144;2018-05-25;19.651291
145;2018-05-26;15.55951
146;2018-05-27;13.242676
147;2018-05-28;14.555871
148;2018-05-29;15.823306
149;2018-05-30;15.169984
150;2018-05-31;14.492324
151;2018-06-01;14.915418
152;2018-06-02;15.51198
153;2018-06-03;15.649829
154;2018-06-04;15.437585
155;2018-06-05;15.568853
156;2018-06-06;17.466237
157;2018-06-07;19.255507
158;2018-06-08;18.115438
159;2018-06-09;19.659059
160;2018-06-10;20.230578
161;2018-06-11;17.379242
162;2018-06-12;23.238882
163;2018-06-13;20.633422
164;2018-06-14;20.985155
165;2018-06-15;24.083814
166;2018-06-16;24.730202
167;2018-06-17;14.449607
168;2018-06-18;14.821283
169;2018-06-19;14.827131
170;2018-06-20;15.173491
171;2018-06-21;15.201311
172;2018-06-22;15.280844
173;2018-06-23;14.97395
174;2018-06-24;15.353031
175;2018-06-25;15.268708
176;2018-06-26;15.206908
177;2018-06-27;15.561572
178;2018-06-28;16.307815
179;2018-06-29;18.737893
180;2018-06-30;15.957843
181;2018-07-01;19.727285
182;2018-07-02;19.47919
183;2018-07-03;21.137725
184;2018-07-04;23.917767
185;2018-07-05;14.560373
186;2018-07-06;22.210534
187;2018-07-07;27.146338
188;2018-07-08;26.600838
189;2018-07-09;17.738379
190;2018-07-10;14.580785
191;2018-07-11;14.874969
192;2018-07-12;15.943046
193;2018-07-13;23.404297
194;2018-07-14;28.453084
195;2018-07-15;23.274125
196;2018-07-16;22.805736
197;2018-07-17;22.963386
198;2018-07-18;22.505587
199;2018-07-19;23.920421
200;2018-07-20;23.612266
201;2018-07-21;21.178405
202;2018-07-22;14.525081
203;2018-07-23;14.417553
204;2018-07-24;16.85976
205;2018-07-25;14.781325
206;2018-07-26;17.223395
207;2018-07-27;20.116225
208;2018-07-28;19.714768
209;2018-07-29;18.522242
210;2018-07-30;19.858943
211;2018-07-31;28.462929
212;2018-08-01;28.384257
213;2018-08-02;28.94163
214;2018-08-03;27.531267
215;2018-08-04;27.679697
216;2018-08-05;26.645269
217;2018-08-06;25.979909
218;2018-08-07;27.810437
219;2018-08-08;28.282886
220;2018-08-09;28.371568
221;2018-08-10;19.367329
222;2018-08-11;14.820208
223;2018-08-12;20.156841
224;2018-08-13;28.505605
225;2018-08-14;28.456461
226;2018-08-15;28.508394
227;2018-08-16;28.436765
228;2018-08-17;28.412706
229;2018-08-18;28.631777
230;2018-08-19;27.315548
231;2018-08-20;27.857852
232;2018-08-21;27.27257
233;2018-08-22;27.463373
234;2018-08-23;27.513564
235;2018-08-24;27.88322
236;2018-08-25;27.978427
237;2018-08-26;27.191649
238;2018-08-27;27.349454
239;2018-08-28;25.567277
240;2018-08-29;23.549468
241;2018-08-30;27.905258
